dataset	culture_day	pathwayID	log2FC_exp	FDR_age	slope	direction	rep_features	pathway
DINP_high_wk22	d7	map01100	2.202701983849282	0.00339416502403154	0.04313003560956204	increasing_with_age	518	Metabolic pathways
DINP_high_wk22	d7	map01110	1.8027272759535768	0.02248853669855484	0.0142834879786524	increasing_with_age	414	Biosynthesis of secondary metabolites
DINP_high_wk22	d7	map01120	2.3800879443839507	0.00138984787555829	0.05756911711342439	increasing_with_age	289	Microbial metabolism in diverse environments
DINP_high_wk22	d7	map01200	2.684454117873264	0.02003731590925258	0.01072127675991495	increasing_with_age	48	Carbon metabolism
DINP_high_wk22	d7	map01240	2.0807082538833854	0.00740424915039794	0.02971965177978205	increasing_with_age	95	Biosynthesis of cofactors
DINP_high_wk22	d7	map01502	3.545698604798905	1.3276917337289943e-4	0.13276915093719907	increasing_with_age	17	Vancomycin resistance
DINP_high_wk22	d7	map01523	1.725803189393375	0.00336973808873389	0.09271226009443104	increasing_with_age	9	Antifolate resistance
DINP_high_wk22	d7	map04024	4.084932751560086	0.01495288327311528	0.03984693107643893	increasing_with_age	7	cAMP signaling pathway
DINP_high_wk22	d7	map04216	-1.1611583661114362	0.00109926922326415	0.09058652676916452	increasing_with_age	22	Ferroptosis
DINP_high_wk22	d7	map04918	1.725803189393375	0.00336973808873389	0.09271226009443104	increasing_with_age	9	Thyroid hormone synthesis
DINP_high_wk22	d7	map04921	1.3955116860703796	0.04469873058519246	-0.08839224387915515	decreasing_with_age	14	Oxytocin signaling pathway
DINP_high_wk22	d7	map05204	1.5674422097601193	0.03514216479796812	0.03128669983522499	increasing_with_age	17	Chemical carcinogenesis - DNA adducts
DINP_high_wk22	d7	map05208	1.6390577327555498	0.03822689392539958	0.03122993448121832	increasing_with_age	18	Chemical carcinogenesis - reactive oxygen species
DINP_high_wk22	d7	map05310	1.4973331034316415	0.0125372842539982	0.07633003590194824	increasing_with_age	6	Asthma
DINP_high_wk22	d7	map07216	1.9953613352899648	0.01096870080198388	0.14527377319058116	increasing_with_age	3	Catecholamine transferase inhibitors
DINP_high_wk22	d7	map07232	3.124819667561427	0.0125372842539982	0.08942794216496763	increasing_with_age	3	Potassium channel blocking and opening drugs
DINP_high_wk40	d1	map00040	3.681841411204593	0.02586717615490027	0.07815184087027602	increasing_with_age	70	Pentose and glucuronate interconversions
DINP_high_wk40	d2	map00040	3.198684587267566	0.02586717615490027	0.07815184087027602	increasing_with_age	70	Pentose and glucuronate interconversions
DINP_high_wk40	d7	map00040	2.4725437961632672	0.02586717615490027	0.07815184087027602	increasing_with_age	70	Pentose and glucuronate interconversions
DINP_high_wk40	d1	map00052	6.710069468743513	0.03332462284302348	0.02729904407377744	increasing_with_age	27	Galactose metabolism
DINP_high_wk40	d2	map00052	5.392944782198892	0.03332462284302348	0.02729904407377744	increasing_with_age	27	Galactose metabolism
DINP_high_wk40	d7	map00052	1.8194386665412023	0.03332462284302348	0.02729904407377744	increasing_with_age	27	Galactose metabolism
DINP_high_wk40	d1	map00053	3.6818414112045934	0.04338864493941959	0.0764881099899449	increasing_with_age	54	Ascorbate and aldarate metabolism
DINP_high_wk40	d2	map00053	3.1986845872675693	0.04338864493941959	0.0764881099899449	increasing_with_age	54	Ascorbate and aldarate metabolism
DINP_high_wk40	d7	map00053	2.472543796163269	0.04338864493941959	0.0764881099899449	increasing_with_age	54	Ascorbate and aldarate metabolism
DINP_high_wk40	d1	map00074	2.803729235329899	0.01050928193541042	0.04054158742243514	increasing_with_age	14	Mycolic acid biosynthesis
DINP_high_wk40	d2	map00074	2.645809956429958	0.01050928193541042	0.04054158742243514	increasing_with_age	14	Mycolic acid biosynthesis
DINP_high_wk40	d7	map00074	2.6807880717880765	0.01050928193541042	0.04054158742243514	increasing_with_age	14	Mycolic acid biosynthesis
DINP_high_wk40	d1	map00121	9.305250296176876	0.00138984787555829	0.11307090409663643	increasing_with_age	23	Secondary bile acid biosynthesis
