lcms_run,pathway,p_age,FDR_age,slope,direction
high-dinp-wk07-wk22,map01054,0.0014038236491733225,0.010968700801983885,0.14527377319058116,increasing_with_age
high-dinp-wk07-wk22,map04740,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map00720,3.541080703415278e-4,0.0033697380887338932,0.09271226009443104,increasing_with_age
high-dinp-wk07-wk22,map04921,0.011364084047050298,0.0446987305850645,-0.08839224387915515,decreasing_with_age
high-dinp-wk07-wk22,map00040,0.004384267144898351,0.025867176154900272,0.07815184087027602,increasing_with_age
high-dinp-wk07-wk22,map00405,0.00655192903012965,0.03514216479796812,0.014499985381507657,increasing_with_age
high-dinp-wk07-wk22,map04744,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map07232,0.0017111590039463709,0.01253728425397593,0.08942794216496763,increasing_with_age
high-dinp-wk07-wk22,map07226,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map00230,0.002005157013940197,0.013756309746799027,0.07563233940982016,increasing_with_age
high-dinp-wk07-wk22,map00240,2.1192159850629466e-8,2.0838957186452307e-6,0.050220091836070534,increasing_with_age
high-dinp-wk07-wk22,map00620,0.006516790201068683,0.03514216479796812,0.03831053225316111,increasing_with_age
high-dinp-wk07-wk22,map04970,0.010241438332611427,0.04196144872389404,-0.0981048577664643,decreasing_with_age
high-dinp-wk07-wk22,map00121,8.951562589328264e-5,0.0013898478757114936,0.11307090409663728,increasing_with_age
high-dinp-wk07-wk22,map00566,3.088575012317393e-6,1.0123662540373676e-4,-0.16269717389861219,decreasing_with_age
high-dinp-wk07-wk22,map00920,4.462763673966224e-6,1.316515283820036e-4,0.1323001992138262,increasing_with_age
